id,query,ground_truth,predicted,correct,votes,num_docs_retrieved
pubmed_34,Is there a differential in the dental health of new recruits to the British Armed Forces?,yes,yes,True,['yes'],5
pubmed_35,Do patients with rheumatoid arthritis established on methotrexate and folic acid 5 mg daily need to continue folic acid supplements long term?,yes,maybe,False,['maybe'],5
pubmed_36,Can teaching medical students to investigate medication errors change their attitudes towards patient safety?,yes,yes,True,['yes'],5
pubmed_37,Does a delay in transfer to a rehabilitation unit for older people affect outcome after fracture of the proximal femur?,yes,yes,True,['yes'],5
pubmed_38,Are there gender differences in the reasons why African Americans delay in seeking medical help for symptoms of an acute myocardial infarction?,yes,yes,True,['yes'],5
pubmed_39,Does ambulatory process of care predict health-related quality of life outcomes for patients with chronic disease?,yes,maybe,False,['maybe'],5
pubmed_40,Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,yes,maybe,False,['maybe'],5
pubmed_41,Does a dedicated discharge coordinator improve the quality of hospital discharge?,yes,no,False,['no'],5
pubmed_42,Impact of MPH programs: contributing to health system strengthening in low- and middle-income countries?,yes,yes,True,['yes'],5
pubmed_43,Pap smears with glandular cell abnormalities: Are they detected by rapid prescreening?,yes,yes,True,['yes'],5
pubmed_44,Can transcranial direct current stimulation be useful in differentiating unresponsive wakefulness syndrome from minimally conscious state patients?,yes,no,False,['no'],5
pubmed_45,Is etoricoxib effective in preventing heterotopic ossification after primary total hip arthroplasty?,yes,yes,True,['yes'],5
pubmed_46,Assessing Patient Reported Outcomes Measures via Phone Interviews Versus Patient Self-Survey in the Clinic: Are We Measuring the Same Thing?,yes,maybe,False,['maybe'],5
pubmed_47,Can emergency physicians accurately and reliably assess acute vertigo in the emergency department?,yes,yes,True,['yes'],5
pubmed_48,Proof of concept study: does fenofibrate have a role in sleep apnoea syndrome?,yes,maybe,False,['maybe'],5
pubmed_49,Does implant coating with antibacterial-loaded hydrogel reduce bacterial colonization and biofilm formation in vitro?,yes,yes,True,['yes'],5
pubmed_50,Does bone anchor fixation improve the outcome of percutaneous bladder neck suspension in female stress urinary incontinence?,yes,maybe,False,['maybe'],5
pubmed_51,Is leptin involved in phagocytic NADPH oxidase overactivity in obesity?,yes,yes,True,['yes'],5
pubmed_52,Can we predict which head and neck cancer survivors develop fears of recurrence?,yes,maybe,False,['maybe'],5
pubmed_53,Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,yes,no,False,['no'],5
pubmed_54,Traumatic aortic injury: does the anatomy of the aortic arch influence aortic trauma severity?,yes,maybe,False,['maybe'],5
pubmed_55,The Prevalence of Incidentally Detected Idiopathic Misty Mesentery on Multidetector Computed Tomography: Can Obesity Be the Triggering Cause?,yes,maybe,False,['maybe'],5
pubmed_56,Fast foods - are they a risk factor for asthma?,yes,no,False,['no'],5
pubmed_57,Assessment of appropriate antimicrobial prescribing: do experts agree?,yes,maybe,False,['maybe'],5
pubmed_58,Pulmonary valve replacement in adults late after repair of tetralogy of fallot: are we operating too late?,yes,maybe,False,['maybe'],5
pubmed_59,Is amoxapine an atypical antipsychotic?,yes,maybe,False,['maybe'],5
pubmed_60,Do older patients who refuse to participate in a self-management intervention in the Netherlands differ from older patients who agree to participate?,yes,yes,True,['yes'],5
pubmed_61,Is horizontal semicircular canal ocular reflex influenced by otolith organs input?,yes,maybe,False,['maybe'],5
pubmed_62,Preoperative tracheobronchoscopy in newborns with esophageal atresia: does it matter?,yes,maybe,False,['maybe'],5
pubmed_63,Is it appropriate to implant kidneys from elderly donors in young recipients?,yes,maybe,False,['maybe'],5
pubmed_64,Is muscle power related to running speed with changes of direction?,yes,maybe,False,['maybe'],5
pubmed_65,Stretch-sensitive KCNQ1 mutation A link between genetic and environmental factors in the pathogenesis of atrial fibrillation?,yes,yes,True,['yes'],5
pubmed_66,Are pelvic anatomical structures in danger during arthroscopic acetabular labral repair?,yes,yes,True,['yes'],5
pubmed_67,Is intraoperative neuromonitoring associated with better functional outcome in patients undergoing open TME?,yes,maybe,False,['maybe'],5
pubmed_68,Profiling quality of care: Is there a role for peer review?,yes,yes,True,['yes'],5
pubmed_69,Multidisciplinary decisions in breast cancer: does the patient receive what the team has recommended?,yes,maybe,False,['maybe'],5
pubmed_70,Are performance measurement systems useful?,yes,yes,True,['yes'],5
pubmed_71,The colour of pain: can patients use colour to describe osteoarthritis pain?,yes,yes,True,['yes'],5
pubmed_72,Do mossy fibers release GABA?,yes,yes,True,['yes'],5
pubmed_73,Is severe macrosomia manifested at 11-14 weeks of gestation?,yes,yes,True,['yes'],5
pubmed_74,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,yes,maybe,False,['maybe'],5
pubmed_75,Is an advance care planning model feasible in community palliative care?,yes,yes,True,['yes'],5
pubmed_76,Do cytokines have any role in epilepsy?,yes,yes,True,['yes'],5
pubmed_77,Is expert breast pathology assessment necessary for the management of ductal carcinoma in situ ?,yes,yes,True,['yes'],5
pubmed_78,Treadmill testing of children who have spina bifida and are ambulatory: does peak oxygen uptake reflect maximum oxygen uptake?,yes,maybe,False,['maybe'],5
pubmed_79,Subclavian steal syndrome: can the blood pressure difference between arms predict the severity of steal?,yes,maybe,False,['maybe'],5
pubmed_80,Is size-reducing ascending aortoplasty with external reinforcement an option in modern aortic surgery?,yes,yes,True,['yes'],5
pubmed_81,Is digoxin use for cardiovascular disease associated with risk of prostate cancer?,yes,no,False,['no'],5
pubmed_82,Screening for gestational diabetes mellitus: are the criteria proposed by the international association of the Diabetes and Pregnancy Study Groups cost-effective?,yes,maybe,False,['maybe'],5
pubmed_83,Does a 4 diagram manual enable laypersons to operate the Laryngeal Mask Supreme®?,yes,maybe,False,['maybe'],5
pubmed_84,Is laparoscopic reoperation for failed antireflux surgery feasible?,yes,yes,True,['yes'],5
pubmed_85,The Omega-3 Index: a new risk factor for death from coronary heart disease?,yes,yes,True,['yes'],5
pubmed_86,Do cytokine concentrations in pancreatic juice predict the presence of pancreatic diseases?,yes,no,False,['no'],5
pubmed_87,Factors determining the survival of nasopharyngeal carcinoma with lung metastasis alone: does combined modality treatment benefit?,yes,maybe,False,['maybe'],5
pubmed_88,Is minimally invasive mitral valve repair with artificial chords reproducible and applicable in routine surgery?,yes,maybe,False,['maybe'],5
pubmed_89,Does receipt of hospice care in nursing homes improve the management of pain at the end of life?,yes,maybe,False,['maybe'],5
pubmed_90,Is intensive chemotherapy safe for rural cancer patients?,yes,yes,True,['yes'],5
pubmed_91,Is the urinary biomarkers assessment a non-invasive approach to tubular lesions of the solitary kidney?,yes,yes,True,['yes'],5
pubmed_92,Does open access endoscopy close the door to an adequately informed patient?,yes,yes,True,['yes'],5
pubmed_93,Do viral infections have a role in benign paroxysmal positional vertigo?,yes,maybe,False,['maybe'],5
pubmed_94,Does reducing spasticity translate into functional benefit?,yes,no,False,['no'],5
pubmed_95,Is the Retromandibular Transparotid Approach a Reliable Option for the Surgical Treatment of Condylar Fractures?,yes,maybe,False,['maybe'],5
pubmed_96,Do ventricular arrhythmias in athletes subside over time?,yes,yes,True,['yes'],5
pubmed_97,Are complex coronary lesions more frequent in patients with diabetes mellitus?,yes,yes,True,['yes'],5
pubmed_98,Can dogs prime autistic children for therapy?,yes,yes,True,['yes'],5
pubmed_99,Quality of life in lung cancer patients: does socioeconomic status matter?,yes,maybe,False,['maybe'],5
pubmed_100,Is there a model to teach and practice retroperitoneoscopic nephrectomy?,yes,yes,True,['yes'],5
pubmed_101,Is the type of remission after a major depressive episode an important risk factor to relapses in a 4-year follow up?,yes,yes,True,['yes'],5
pubmed_102,Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,yes,maybe,False,['maybe'],5
pubmed_103,Longer term quality of life and outcome in stroke patients: is the Barthel index alone an adequate measure of outcome?,yes,no,False,['no'],5
pubmed_104,Does a special interest in laparoscopy affect the treatment of acute cholecystitis?,yes,maybe,False,['maybe'],5
pubmed_105,Do older adults with cancer fall more often?,yes,yes,True,['yes'],5
pubmed_106,Two-year follow-up survey of patients with allergic contact dermatitis from an occupational cohort: is the prognosis dependent on the omnipresence of the allergen?,yes,maybe,False,['maybe'],5
pubmed_107,Is there a favorable subset of patients with prostate cancer who develop oligometastases?,yes,maybe,False,['maybe'],5
pubmed_108,Does radiotherapy around the time of pregnancy for Hodgkin's disease modify the risk of breast cancer?,yes,yes,True,['yes'],5
pubmed_109,Does left atrial appendage (LAA) occlusion device alter the echocardiography and electrocardiogram parameters in patients with atrial fibrillation?,yes,maybe,False,['maybe'],5
pubmed_110,Is non-invasive diagnosis of esophageal varices in patients with compensated hepatic cirrhosis possible by duplex Doppler ultrasonography?,yes,yes,True,['yes'],5
pubmed_111,Do inhaled steroids differ from cromones in terms of hospital admission rates for asthma in children?,yes,maybe,False,['maybe'],5
pubmed_112,Does airway surgery lower serum lipid levels in obstructive sleep apnea patients?,yes,no,False,['no'],5
pubmed_113,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,yes,maybe,False,['maybe'],5
pubmed_114,Do instrumental activities of daily living predict dementia at 1- and 2-year follow-up?,yes,yes,True,['yes'],5
pubmed_115,Is pelvic pain associated with defecatory symptoms in women with pelvic organ prolapse?,yes,yes,True,['yes'],5
pubmed_116,Does the SCL 90-R obsessive-compulsive dimension identify cognitive impairments?,yes,no,False,['no'],5
pubmed_117,Is non-HDL-cholesterol a better predictor of long-term outcome in patients after acute myocardial infarction compared to LDL-cholesterol?,yes,yes,True,['yes'],5
pubmed_118,Body diffusion-weighted MR imaging of uterine endometrial cancer: is it helpful in the detection of cancer in nonenhanced MR imaging?,yes,yes,True,['yes'],5
pubmed_119,Does pediatric housestaff experience influence tests ordered for infants in the neonatal intensive care unit?,yes,yes,True,['yes'],5
pubmed_120,Biomolecular identification of allergenic pollen: a new perspective for aerobiological monitoring?,yes,yes,True,['yes'],5
pubmed_121,Is the 7th TNM edition suitable for biological predictor in early gastric cancer?,yes,maybe,False,['maybe'],5
pubmed_122,Are lower fasting plasma glucose levels at diagnosis of type 2 diabetes associated with improved outcomes?,yes,yes,True,['yes'],5
pubmed_123,Remote ischemic postconditioning: does it protect against ischemic damage in percutaneous coronary revascularization?,yes,yes,True,['yes'],5
pubmed_124,Does multi-modal cervical physical therapy improve tinnitus in patients with cervicogenic somatic tinnitus?,yes,maybe,False,['maybe'],5
pubmed_125,Processing fluency effects: can the content and presentation of participant information sheets influence recruitment and participation for an antenatal intervention?,yes,maybe,False,['maybe'],5
pubmed_126,Fulfilling human resources development goal in West Africa: can the training of ophthalmologist diplomates be improved?,yes,maybe,False,['maybe'],5
pubmed_127,Predicting admission at triage: are nurses better than a simple objective score?,yes,no,False,['no'],5
pubmed_128,Are adult body circumferences associated with height?,yes,yes,True,['yes'],5
pubmed_129,Can progression of valvar aortic stenosis be predicted accurately?,yes,maybe,False,['maybe'],5
pubmed_130,Does the National Institutes of Health Stroke Scale favor left hemisphere strokes?,yes,yes,True,['yes'],5
pubmed_131,MiraLAX vs. Golytely: is there a significant difference in the adenoma detection rate?,yes,no,False,['no'],5
pubmed_132,Can gingival crevicular blood be relied upon for assessment of blood glucose level?,yes,yes,True,['yes'],5
pubmed_133,Is zero central line-associated bloodstream infection rate sustainable?,yes,maybe,False,['maybe'],5
pubmed_134,Does treatment duration affect outcome after radiotherapy for prostate cancer?,yes,yes,True,['yes'],5
pubmed_135,Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,yes,maybe,False,['maybe'],5
pubmed_136,Is pain a clinically relevant problem in general adult psychiatry?,yes,yes,True,['yes'],5
pubmed_137,Should displaced midshaft clavicular fractures be treated surgically?,yes,yes,True,['yes'],5
pubmed_138,Telemedicine and type 1 diabetes: is technology per se sufficient to improve glycaemic control?,yes,no,False,['no'],5
pubmed_139,Do European people with type 1 diabetes consume a high atherogenic diet?,yes,yes,True,['yes'],5
pubmed_140,Preoperative platelet count in esophageal squamous cell carcinoma: is it a prognostic factor?,yes,yes,True,['yes'],5
pubmed_141,Should serum pancreatic lipase replace serum amylase as a biomarker of acute pancreatitis?,yes,yes,True,['yes'],5
pubmed_142,Do Electrochemiluminescence Assays Improve Prediction of Time to Type 1 Diabetes in Autoantibody-Positive TrialNet Subjects?,yes,yes,True,['yes'],5
pubmed_143,Does SYNTAX score predict in-hospital outcomes in patients with ST elevation myocardial infarction undergoing primary percutaneous coronary intervention?,yes,no,False,['no'],5
pubmed_144,Are behavioural risk factors to be blamed for the conversion from optimal blood pressure to hypertensive status in Black South Africans?,yes,yes,True,['yes'],5
pubmed_145,Does the type of tibial component affect mechanical alignment in unicompartmental knee replacement?,yes,yes,True,['yes'],5
pubmed_146,Upstream solutions: does the supplemental security income program reduce disability in the elderly?,yes,maybe,False,['maybe'],5
pubmed_147,Can serum be used for analyzing the EGFR mutation status in patients with advanced non-small cell lung cancer?,yes,yes,True,['yes'],5
pubmed_148,Are failures of anterior cruciate ligament reconstruction associated with steep posterior tibial slopes?,yes,no,False,['no'],5
pubmed_149,Do teleoncology models of care enable safe delivery of chemotherapy in rural towns?,yes,maybe,False,['maybe'],5
pubmed_150,Is solitary kidney really more resistant to ischemia?,yes,maybe,False,['maybe'],5
pubmed_151,Is it safe to perform rectal anastomosis in gynaecological debulking surgery without a diverting stoma?,yes,no,False,['no'],5
pubmed_152,Has the mammography quality standards act affected the mammography quality in North Carolina?,yes,maybe,False,['maybe'],5
pubmed_153,Is breast cancer prognosis inherited?,yes,maybe,False,['maybe'],5
pubmed_154,c-Kit-dependent growth of uveal melanoma cells: a potential therapeutic target?,yes,yes,True,['yes'],5
pubmed_155,Pituitary apoplexy: do histological features influence the clinical presentation and outcome?,yes,maybe,False,['maybe'],5
pubmed_156,Orthostatic myoclonus: an underrecognized cause of unsteadiness?,yes,yes,True,['yes'],5
pubmed_157,Is low serum chloride level a risk factor for cardiovascular mortality?,yes,yes,True,['yes'],5
pubmed_158,Does ethnicity affect where people with cancer die?,yes,yes,True,['yes'],5
pubmed_159,Transesophageal echocardiographic assessment of left ventricular function in brain-dead patients: are marginally acceptable hearts suitable for transplantation?,yes,no,False,['no'],5
pubmed_160,Can the postoperative pain level be predicted preoperatively?,yes,yes,True,['yes'],5
pubmed_161,Does age moderate the effect of personality disorder on coping style in psychiatric inpatients?,yes,yes,True,['yes'],5
pubmed_162,Is neck pain associated with worse health-related quality of life 6 months later?,yes,yes,True,['yes'],5
pubmed_163,Dose end-tidal carbon dioxide measurement correlate with arterial carbon dioxide in extremely low birth weight infants in the first week of life?,yes,yes,True,['yes'],5
pubmed_164,Does Residency Selection Criteria Predict Performance in Orthopaedic Surgery Residency?,yes,maybe,False,['maybe'],5
pubmed_165,Is CA72-4 a useful biomarker in differential diagnosis between ovarian endometrioma and epithelial ovarian cancer?,yes,yes,True,['yes'],5
pubmed_166,Is the breast best for children with a family history of atopy?,yes,yes,True,['yes'],5
pubmed_167,Is Bare-Metal Stent Implantation Still Justifiable in High Bleeding Risk Patients Undergoing Percutaneous Coronary Intervention?,yes,maybe,False,['maybe'],5
pubmed_168,"Marital status, living arrangement and mortality: does the association vary by gender?",yes,yes,True,['yes'],5
pubmed_169,Does ibuprofen increase perioperative blood loss during hip arthroplasty?,yes,yes,True,['yes'],5
pubmed_170,Can magnetic resonance imaging accurately predict concordant pain provocation during provocative disc injection?,yes,no,False,['no'],5
pubmed_171,Does case-mix based reimbursement stimulate the development of process-oriented care delivery?,yes,maybe,False,['maybe'],5
pubmed_172,Cerebromediastinal tuberculosis in a child with a probable Say-Barber-Miller syndrome: a causative link?,yes,maybe,False,['maybe'],5
pubmed_173,Is the determination of specific IgE against components using ISAC 112 a reproducible technique?,yes,yes,True,['yes'],5
pubmed_174,Schizophrenia patients with high intelligence: A clinically distinct sub-type of schizophrenia?,yes,maybe,False,['maybe'],5
pubmed_175,Is halofantrine ototoxic?,yes,no,False,['no'],5
pubmed_176,Identification of racial disparities in breast cancer mortality: does scale matter?,yes,yes,True,['yes'],5
pubmed_177,Can fractional lasers enhance transdermal absorption of topical lidocaine in an in vivo animal model?,yes,yes,True,['yes'],5
pubmed_178,Does laparoscopic surgery decrease the risk of atrial fibrillation after foregut surgery?,yes,yes,True,['yes'],5
pubmed_179,Is breast cancer survival improving?,yes,yes,True,['yes'],5
pubmed_180,Does partial expander deflation exacerbate the adverse effects of radiotherapy in two-stage breast reconstruction?,yes,yes,True,['yes'],5
pubmed_181,Does the clinical presentation of a prior preterm birth predict risk in a subsequent pregnancy?,yes,yes,True,['yes'],5
pubmed_182,Cold preparation use in young children after FDA warnings: do concerns still exist?,yes,yes,True,['yes'],5
pubmed_183,Does occupational nuclear power plant radiation affect conception and pregnancy?,yes,maybe,False,['maybe'],5
pubmed_184,Can shape analysis differentiate free-floating internal carotid artery thrombus from atherosclerotic plaque in patients evaluated with CTA for stroke or transient ischemic attack?,yes,maybe,False,['maybe'],5
pubmed_185,Can pictorial warning labels on cigarette packages address smoking-related health disparities?,yes,yes,True,['yes'],5
pubmed_186,Surgical treatment of prosthetic valve endocarditis in patients with double prostheses: is single-valve replacement safe?,yes,yes,True,['yes'],5
pubmed_187,Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,yes,yes,True,['yes'],5
pubmed_188,"Do ""America's Best Hospitals"" perform better for acute myocardial infarction?",yes,no,False,['no'],5
pubmed_189,Do socioeconomic differences in mortality persist after retirement?,yes,yes,True,['yes'],5
pubmed_190,Convulsions and retinal haemorrhage: should we look further?,yes,maybe,False,['maybe'],5
pubmed_191,Is the use of cyanoacrylate in intestinal anastomosis a good and reliable alternative?,yes,maybe,False,['maybe'],5
pubmed_192,Are increased carotid artery pulsatility and resistance indexes early signs of vascular abnormalities in young obese males?,yes,yes,True,['yes'],5
pubmed_193,Does topical ropivacaine reduce the post-tonsillectomy morbidity in pediatric patients?,yes,maybe,False,['maybe'],5
pubmed_194,Is robotically assisted laparoscopic radical prostatectomy less invasive than retropubic radical prostatectomy?,yes,maybe,False,['maybe'],5
pubmed_195,Is specialty care associated with improved survival of patients with congestive heart failure?,yes,yes,True,['yes'],5
pubmed_196,Histologic evaluation of the testicular remnant associated with the vanishing testes syndrome: is surgical management necessary?,yes,maybe,False,['maybe'],5
pubmed_197,Does oxybutynin hydrochloride cause arrhythmia in children with bladder dysfunction?,yes,yes,True,['yes'],5
pubmed_198,Does the manic/mixed episode distinction in bipolar disorder patients run true over time?,yes,no,False,['no'],5
pubmed_199,Is the first urinary albumin/creatinine ratio (ACR) in women with suspected preeclampsia a prognostic factor for maternal and neonatal adverse outcome?,yes,yes,True,['yes'],5
pubmed_200,Are pediatric concussion patients compliant with discharge instructions?,yes,maybe,False,['maybe'],5
pubmed_201,Can communication with terminally ill patients be taught?,yes,yes,True,['yes'],5
pubmed_202,Are environmental factors important in primary systemic vasculitis?,yes,yes,True,['yes'],5
pubmed_203,Diagnosis and follow-up in constipated children: should we use ultrasound?,yes,maybe,False,['maybe'],5
pubmed_204,Out of the smokescreen II: will an advertisement targeting the tobacco industry affect young people's perception of smoking in movies and their intention to smoke?,yes,maybe,False,['maybe'],5
pubmed_205,Do general practitioner hospitals reduce the utilisation of general hospital beds?,yes,yes,True,['yes'],5
pubmed_206,Does insulin resistance drive the association between hyperglycemia and cardiovascular risk?,yes,maybe,False,['maybe'],5
pubmed_207,Ultra high risk (UHR) for psychosis criteria: are there different levels of risk for transition to psychosis?,yes,yes,True,['yes'],5
pubmed_208,Aberrant loss of dickkopf-3 in gastric cancer: can it predict lymph node metastasis preoperatively?,yes,yes,True,['yes'],5
pubmed_209,Can CT predict the level of CSF block in tuberculous hydrocephalus?,yes,no,False,['no'],5
pubmed_210,Is oral endotracheal intubation efficacy impaired in the helicopter environment?,yes,yes,True,['yes'],5
pubmed_211,Sternal plating for primary and secondary sternal closure; can it improve sternal stability?,yes,yes,True,['yes'],5
pubmed_212,Can early second-look tympanoplasty reduce the rate of conversion to modified radical mastoidectomy?,yes,maybe,False,['maybe'],5
pubmed_213,Can T-cell deficiency affect spatial learning ability following toluene exposure?,yes,maybe,False,['maybe'],5
pubmed_214,Are acceptance rates of a national preventive home visit programme for older people socially imbalanced?,yes,yes,True,['yes'],5
pubmed_215,Increased neutrophil migratory activity after major trauma: a factor in the etiology of acute respiratory distress syndrome?,yes,yes,True,['yes'],5
pubmed_216,"Do improvements in outreach, clinical, and family and community-based services predict improvements in child survival?",yes,yes,True,['yes'],5
pubmed_217,Vertical lines in distal esophageal mucosa (VLEM): a true endoscopic manifestation of esophagitis in children?,yes,yes,True,['yes'],5
pubmed_218,An HIV1/2 point of care test on sputum for screening TB/HIV co-infection in Central India - Will it work?,yes,yes,True,['yes'],5
pubmed_219,Is crime associated with over-the-counter pharmacy syringe sales?,yes,yes,True,['yes'],5
pubmed_220,Colorectal cancer in young patients: is it a distinct clinical entity?,yes,yes,True,['yes'],5
pubmed_221,Does evidence-based practice improve patient outcomes?,yes,yes,True,['yes'],5
pubmed_222,Can the prognosis of polymyalgia rheumatica be predicted at disease onset?,yes,no,False,['no'],5
pubmed_223,Does prior benign prostate biopsy predict outcome for patients treated with radical perineal prostatectomy?,yes,yes,True,['yes'],5
pubmed_224,Is the Distance Worth It?,yes,maybe,False,['maybe'],5
pubmed_225,Treatment as prevention in resource-limited settings: is it feasible to maintain HIV viral load suppression over time?,yes,no,False,['no'],5
pubmed_226,Does head positioning influence anterior chamber depth in pseudoexfoliation syndrome?,yes,yes,True,['yes'],5
pubmed_227,Are intraoperative precursor events associated with postoperative major adverse events?,yes,yes,True,['yes'],5
pubmed_228,Transient tachypnea of the newborn (TTN): a role for polymorphisms in the beta-adrenergic receptor (ADRB) encoding genes?,yes,no,False,['no'],5
pubmed_229,Could ADMA levels in young adults born preterm predict an early endothelial dysfunction?,yes,maybe,False,['maybe'],5
pubmed_230,Informed consent for total hip arthroplasty: does a written information sheet improve recall by patients?,yes,maybe,False,['maybe'],5
pubmed_231,Quaternary cytoreductive surgery in ovarian cancer: does surgical effort still matter?,yes,maybe,False,['maybe'],5
pubmed_232,Can a Novel Surgical Approach to the Temporomandibular Joint Improve Access and Reduce Complications?,yes,maybe,False,['maybe'],5
pubmed_233,Hepatic arterial embolization for unresectable hepatocellular carcinomas: do technical factors affect prognosis?,yes,maybe,False,['maybe'],5
pubmed_234,Is plate clearing a risk factor for obesity?,yes,maybe,False,['maybe'],5
pubmed_235,Outcomes of severely injured adult trauma patients in an Australian health service: does trauma center level make a difference?,yes,maybe,False,['maybe'],5
pubmed_236,Does the lipid-lowering peroxisome proliferator-activated receptors ligand bezafibrate prevent colon cancer in patients with coronary artery disease?,yes,no,False,['no'],5
pubmed_237,Serum angiotensin-converting enzyme and frequency of severe hypoglycaemia in Type 1 diabetes: does a relationship exist?,yes,maybe,False,['maybe'],5
pubmed_238,Hypotension in patients with coronary disease: can profound hypotensive events cause myocardial ischaemic events?,yes,yes,True,['yes'],5
pubmed_239,Measuring hospital mortality rates: are 30-day data enough?,yes,maybe,False,['maybe'],5
pubmed_240,Is the ability to perform transurethral resection of the prostate influenced by the surgeon's previous experience?,yes,yes,True,['yes'],5
pubmed_241,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",yes,maybe,False,['maybe'],5
pubmed_242,Do women residents delay childbearing due to perceived career threats?,yes,yes,True,['yes'],5
pubmed_243,Is trabecular bone related to primary stability of miniscrews?,yes,yes,True,['yes'],5
pubmed_244,Acute respiratory distress syndrome in children with malignancy--can we predict outcome?,yes,yes,True,['yes'],5
pubmed_245,"Neoadjuvant Imatinib in Locally Advanced Gastrointestinal stromal Tumours, Will Kit Mutation Analysis Be a Pathfinder?",yes,yes,True,['yes'],5
pubmed_246,Is obesity a risk factor for wheezing among adolescents?,yes,yes,True,['yes'],5
pubmed_247,Could ESC (Electronic Stability Control) change the way we drive?,yes,yes,True,['yes'],5
